sample	chr	startpos	endpos	nMajor	nMinor
TumorSample-A	20	25965422	30277784	1	0
TumorSample-A	20	30279614	64283878	1	1
TumorSample-A	21	13224688	46681423	1	1
TumorSample-A	22	15513541	16084705	1	0
TumorSample-A	22	16090803	16235320	2	1
TumorSample-A	22	16235393	22024669	1	1
TumorSample-A	22	22025012	22127104	2	1
TumorSample-A	22	22127198	25267853	1	1
TumorSample-A	22	25268282	25522742	1	0
TumorSample-A	22	25525619	33893127	1	1
TumorSample-A	22	33894247	50757736	1	0
TumorSample-A	X	2781205	29260788	1	0
TumorSample-A	X	29263243	29343835	0	0
TumorSample-A	X	29347115	29530312	1	0
TumorSample-A	X	29531374	29562740	0	0
TumorSample-A	X	29565761	155695384	1	0
